品目	紙名	発行日	年	見出し	備考
コメ	朝日	2026-06-17	2026	県産農作物の輸出量半減　コメ、高騰で国内優先に　昨年度　/福島県	
コメ	朝日	2026-06-17	2026	県産農産物の輸出量半減 コメ、高騰で国内優先に 昨年度 ／福島県	
コメ	朝日	2026-05-09	2026	金賞コメ、食べ比べ ふるさと納税、共通返礼品 須賀川市・鏡石町・天栄村 ／福島県	写真図表有
コメ	朝日	2026-03-02	2026	福島県産のコメ、２５年も特Ａ逃す 食味ランキング ／福島県	
コメ	朝日	2025-08-29	2025	小泉農水相とコメ農家、意見交換 猛暑影響や検査基準の見直し… ／福島県	写真図表有
コメ	朝日	2025-08-19	2025	返礼品のコメ、通常受付開始 湯川村、半月前倒し ふるさと納税 ／福島県	写真図表有
コメ	朝日	2025-06-27	2025	「ＴＯＫＩＯ解散残念」 県キャンペーン起用継続に含み 県と西郷村がコメント／福島県	
コメ	朝日	2025-06-01	2025	民家保管のコメ、１８０キロが盗難被害 相馬、施錠ない納屋から ／福島県	
コメ	朝日	2025-05-08	2025	農産物輸出、過去最高 コメ、前年度の倍 県産、昨年度 ／福島県	
コメ	朝日	2024-11-20	2024	コメの予想収穫量、前年比１０．６万トン増 東北６県、作況「やや良」 ／福島県	写真図表有
コメ	朝日	2024-08-14	2024	フードバンク団体、６割で食料寄付減 コメ不足顕著 ＮＰＯアンケート ／福島県	
コメ	朝日	2024-08-14	2024	（みちのくコメ物語：６）高級米、猛暑で追肥のジレンマ ／福島県	写真図表有／連載
コメ	朝日	2024-08-07	2024	（みちのくコメ物語：５）特Ａ常連「ひとめぼれ」、不振 ／福島県	写真図表有／連載
コメ	朝日	2024-08-06	2024	（みちのくコメ物語：４）産地間競争、満塁ホームラン ／福島県	写真図表有／連載
コメ	朝日	2024-08-02	2024	（みちのくコメ物語：３）賢治先生も褒めた「陸羽１３２号」 ／福島県	写真図表有／連載
コメ	朝日	2024-08-01	2024	（みちのくコメ物語：２）おいしさの源流、幻の「亀の尾」 ／福島県	写真図表有／連載
コメ	朝日	2024-07-31	2024	（みちのくコメ物語：１）暑さ寒さに耐える「二刀流」へ挑戦 ／福島県	写真図表有／連載
コメ	朝日	2024-06-12	2024	避難指示解除地域、コメづくり難題 除染で土はぎ取った水田、「地力」心配 ／福島県	写真図表有
コメ	朝日	2024-04-27	2024	県産米輸出量、前年度の１．６倍 ２３年度３８３トン 「コメブーム」背景 ／福島県	写真図表有
コメ	朝日	2023-10-14	2023	コメ作況指数、やや良「１０２」 猛暑で１等の比率低下、懸念 ／福島県	
コメ	朝日	2023-09-09	2023	ＪＡのコメ概算金、２年連続引き上げ ／福島県	写真図表有
コメ	朝日	2023-07-05	2023	「客観性確保を」　知事がコメント　原発処理水放出　／福島県	福島全県・１地方
コメ	朝日	2023-01-28	2023	（東日本大震災１２年）旧コメリ「飯舘再生の場に」　原発事故で営業停止、村外出身の２人に託す／福島県	福島全県・１地方／写真図表有／連載
コメ	朝日	2022-11-08	2022	（食と農のいま）営農本格再開、１２年ぶり「実りの秋」　原発被害の福島・大熊、コメの収穫始まる／宮城県	宮城全県・地域総合／写真図表有／見出しのみ表示／連載
コメ	朝日	2022-10-15	2022	県内のコメ作況、平年並みの「１００」　先月２５日時点　／福島県	福島全県・１地方
コメ	朝日	2022-10-07	2022	（迫る探る＠福島）コメ原料のプラ素材「相双の課題解決に」　南相馬の会社が商品化／福島県	福島全県・１地方／写真図表有／連載
コメ	朝日	2022-09-10	2022	ＪＡコメ概算金、上昇　肥料や資材高騰、背景　２２年産　／福島県	福島全県・１地方／写真図表有
コメ	朝日	2022-07-22	2022	（東北人）加藤晃司さん、絵美さん　コメ農家でビール醸造家　／福島県	福島全県・地域総合／写真図表有／連載
コメ	朝日	2022-04-25	2022	苦境の県産、１１年経ても　コメ低評価定着「一人負け」　／福島県	福島全県・１地方／写真図表有
コメ	朝日	2022-02-16	2022	福島「デリシャス」、海外発信　あんぽ柿・コメ、米サイトに動画　／岩手県	岩手全県・２地方／写真図表有
コメ	朝日	2022-02-16	2022	福島「デリシャス」、海外発信　あんぽ柿・コメ、米サイトに動画　／青森県	青森全県・２地方／写真図表有／岩手版と同一記事
コメ	朝日	2022-02-09	2022	県や農家、歓迎の声　台湾、県産食品の輸入規制緩和　コメ流通拡大を期待　／福島県	福島全県・１地方
コメ	朝日	2022-02-09	2022	あんぽ柿やコメの魅力、海外に発信　県がＰＲ動画　／福島県	福島全県・１地方／写真図表有
コメ	朝日	2022-02-01	2022	苦境のコメ、輸出に活路　風評被害とコロナ禍　ＪＡ福島さくら、６０トン目標／福島県	福島全県・１地方／写真図表有
コメ	朝日	2022-01-10	2022	福島・会津のコメが震災後初、米へ輸出　／宮城県	宮城全県・１地方／写真図表有
コメ	朝日	2021-12-03	2021	思いコメて、飯べらに焼き印　会津若松　／福島県	福島全県・１地方／写真図表有／「コメて」は動詞・ノイズ
コメ	朝日	2021-10-24	2021	（２０２１衆院選　選挙区を歩く：４）コメどころ＠柳津　「もはや大規模農業はリスク」／福島県	福島全県・１地方／写真図表有／連載
コメ	朝日	2021-03-17	2021	《朝日新聞デジタル》（帰りなんいざ　福島へ：８）故郷のコメ、なぜ食べるのか？唯一無二の「絆」確かめる	デジ専／連載
コメ	朝日	2020-12-05	2020	コメ作付け削減、地域に目安説明　推進会議が協力求める　／福島県	福島全県・２地方
コメ	朝日	2020-06-06	2020	生活困る学生にコメを贈り支援　ＪＡ福島さくら　／福島県	福島全県・１地方／写真図表有
