品目	紙名	発行日	年	見出し	備考	スコア	辞書ヒット数	極性語数	判定	ノイズ	寄与語	分かち書き
コメ	朝日	2026-06-17	2026	県産農作物の輸出量半減　コメ、高騰で国内優先に　昨年度　/福島県		0.1	4	3	中立		輸出:+0.4(補助) 量:+1.0(名詞) 高騰:-1.0(名詞) 優先:+0.0(名詞)	農作物 輸出 半減 コメ 高騰 国内 優先 昨年度 福島
コメ	朝日	2026-06-17	2026	県産農産物の輸出量半減 コメ、高騰で国内優先に 昨年度 ／福島県		0.1	4	3	中立		輸出:+0.4(補助) 量:+1.0(名詞) 高騰:-1.0(名詞) 優先:+0.0(名詞)	農産物 輸出 半減 コメ 高騰 国内 優先 昨年度 福島
コメ	朝日	2026-05-09	2026	金賞コメ、食べ比べ ふるさと納税、共通返礼品 須賀川市・鏡石町・天栄村 ／福島県	写真図表有	0.5	2	1	ポジティブ		ふるさと:+0.0(名詞) 品:+1.0(名詞)	金賞 コメ 食べる 比べる ふるさと 納税 共通 返礼 須賀川 鏡石 天栄 福島
コメ	朝日	2026-03-02	2026	福島県産のコメ、２５年も特Ａ逃す 食味ランキング ／福島県		-0.6	1	1	ネガティブ		逃す:-0.6(補助)	福島 コメ 逃す 食味 ランキング 福島
コメ	朝日	2025-08-29	2025	小泉農水相とコメ農家、意見交換 猛暑影響や検査基準の見直し… ／福島県	写真図表有	-0.1667	6	1	ネガティブ		農水:+0.0(名詞) 相:+0.0(名詞) 猛暑:-1.0(名詞) 影響:+0.0(名詞) 検査:+0.0(名詞) 基準:+0.0(名詞)	小泉 農水 コメ 農家 意見 交換 猛暑 影響 検査 基準 見直し 福島
コメ	朝日	2025-08-19	2025	返礼品のコメ、通常受付開始 湯川村、半月前倒し ふるさと納税 ／福島県	写真図表有	0.25	4	1	ポジティブ		品:+1.0(名詞) 通常:+0.0(名詞) 半月:+0.0(名詞) ふるさと:+0.0(名詞)	返礼 コメ 通常 受付 開始 湯川 半月 前倒し ふるさと 納税 福島
コメ	朝日	2025-06-27	2025	「ＴＯＫＩＯ解散残念」 県キャンペーン起用継続に含み 県と西郷村がコメント／福島県		-1.0	2	2	ネガティブ	要確認	解散:-1.0(名詞) 残念:-1.0(名詞)	ＴＯＫＩＯ 解散 残念 キャンペーン 起用 継続 含み 西郷 コメント 福島
コメ	朝日	2025-06-01	2025	民家保管のコメ、１８０キロが盗難被害 相馬、施錠ない納屋から ／福島県		-1.0	2	2	ネガティブ		盗難:-1.0(名詞) 被害:-1.0(名詞)	民家 保管 コメ キロ 盗難 被害 相馬 施錠 ない 納屋 福島
コメ	朝日	2025-05-08	2025	農産物輸出、過去最高 コメ、前年度の倍 県産、昨年度 ／福島県		0.1333	3	3	ポジティブ		輸出:+0.4(補助) 過去:-1.0(名詞) 最高:+1.0(名詞)	農産物 輸出 過去 最高 コメ 前年度 昨年度 福島
コメ	朝日	2024-11-20	2024	コメの予想収穫量、前年比１０．６万トン増 東北６県、作況「やや良」 ／福島県	写真図表有	0.6	5	3	ポジティブ		収穫:+1.0(名詞) 量:+1.0(名詞) 増:+0.0(名詞) 作況:+0.0(名詞) 良:+1.0(名詞)	コメ 予想 収穫 前年 トン 東北 作況 やや 福島
コメ	朝日	2024-08-14	2024	フードバンク団体、６割で食料寄付減 コメ不足顕著 ＮＰＯアンケート ／福島県		-0.5	2	1	ネガティブ		寄付:+0.0(名詞) 不足:-1.0(名詞)	フード バンク 団体 食料 寄付 コメ 不足 顕著 ＮＰＯ アンケート 福島
コメ	朝日	2024-08-14	2024	（みちのくコメ物語：６）高級米、猛暑で追肥のジレンマ ／福島県	写真図表有／連載	-0.25	4	3	ネガティブ		高級:+1.0(名詞) 米:+0.0(名詞) 猛暑:-1.0(名詞) ジレンマ:-1.0(名詞)	みちのく コメ 物語 高級 猛暑 追肥 ジレンマ 福島
コメ	朝日	2024-08-07	2024	（みちのくコメ物語：５）特Ａ常連「ひとめぼれ」、不振 ／福島県	写真図表有／連載	-0.5	2	1	ネガティブ		常連:+0.0(名詞) 不振:-1.0(名詞)	みちのく コメ 物語 常連 ひとめぼれ 不振 福島
コメ	朝日	2024-08-06	2024	（みちのくコメ物語：４）産地間競争、満塁ホームラン ／福島県	写真図表有／連載	0.5	2	1	ポジティブ		満塁:+1.0(名詞) ホームラン:+0.0(名詞)	みちのく コメ 物語 産地 競争 満塁 ホームラン 福島
コメ	朝日	2024-08-02	2024	（みちのくコメ物語：３）賢治先生も褒めた「陸羽１３２号」 ／福島県	写真図表有／連載	0.0	1	0	判定不能		先生:+0.0(名詞)	みちのく コメ 物語 賢治 先生 褒める 福島
コメ	朝日	2024-08-01	2024	（みちのくコメ物語：２）おいしさの源流、幻の「亀の尾」 ／福島県	写真図表有／連載	1.0	1	1	ポジティブ		おいしい:+1.0(用言)	みちのく コメ 物語 おいしい 源流 福島
コメ	朝日	2024-07-31	2024	（みちのくコメ物語：１）暑さ寒さに耐える「二刀流」へ挑戦 ／福島県	写真図表有／連載	0.0	1	0	判定不能		挑戦:+0.0(名詞)	みちのく コメ 物語 暑い 寒い 耐える 二刀流 挑戦 福島
コメ	朝日	2024-06-12	2024	避難指示解除地域、コメづくり難題 除染で土はぎ取った水田、「地力」心配 ／福島県	写真図表有	-0.3	5	5	ネガティブ		避難:-1.0(名詞) 解除:+0.5(補助) 難題:-1.0(名詞) 地力:+1.0(名詞) 心配:-1.0(名詞)	避難 指示 解除 地域 コメ づくり 難題 はぎ取る 水田 地力 心配 福島
コメ	朝日	2024-04-27	2024	県産米輸出量、前年度の１．６倍 ２３年度３８３トン 「コメブーム」背景 ／福島県	写真図表有	0.6	4	3	ポジティブ		米:+0.0(名詞) 輸出:+0.4(補助) 量:+1.0(名詞) ブーム:+1.0(名詞)	輸出 前年度 年度 トン コメ ブーム 背景 福島
コメ	朝日	2023-10-14	2023	コメ作況指数、やや良「１０２」 猛暑で１等の比率低下、懸念 ／福島県		-0.4	5	4	ネガティブ		作況:+0.0(名詞) 良:+1.0(名詞) 猛暑:-1.0(名詞) 低下:-1.0(名詞) 懸念:-1.0(名詞)	コメ 作況 指数 やや 猛暑 比率 低下 懸念 福島
コメ	朝日	2023-09-09	2023	ＪＡのコメ概算金、２年連続引き上げ ／福島県	写真図表有	0.75	2	2	ポジティブ		金:+1.0(名詞) 引き上げ:+0.5(補助)	ＪＡ コメ 概算 連続 引き上げ 福島
コメ	朝日	2023-07-05	2023	「客観性確保を」　知事がコメント　原発処理水放出　／福島県	福島全県・１地方	0.0	4	2	中立	要確認	性:+0.0(名詞) 確保:+1.0(名詞) 原発:+0.0(名詞) 放出:-1.0(名詞)	客観 確保 知事 コメント 原発 処理 放出 福島
コメ	朝日	2023-01-28	2023	（東日本大震災１２年）旧コメリ「飯舘再生の場に」　原発事故で営業停止、村外出身の２人に託す／福島県	福島全県・１地方／写真図表有／連載	-0.1667	6	3	ネガティブ	要確認	大震災:-1.0(名詞) 再生:+1.0(名詞) 原発:+0.0(名詞) 事故:-1.0(名詞) 停止:+0.0(名詞) 人:+0.0(名詞)	東日本 大震災 コメリ 飯舘 再生 原発 事故 営業 停止 出身 託す 福島
